Scene,Node Name,Text ID,Localize?,Scale X,Scale Y,Scroll Rate,Scroll Delay,Horizontal Alignment,Vertical Alignment,Multiline,Font,Is Help Text
NTS_Settings,TEXT_IP,IP_SETTINGS,1,0.7,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_DNS,DNS_SETTINGS,1,0.7,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_Host,HOST_SETTINGS,1,0.7,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_PPPoE,PPPOE_SETTINGS,1,0.7,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_META,Done,1,0.7,0.8,0,0,L,L,1,0,1
NTS_Settings,TEXT_MACADDRESS,MAC_ADDRESS,0,0.7,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_CANCEL,CANCEL,1,0.5,0.8,0,0,L,C,0,0,0
NTS_Settings,TEXT_CONNECT,CONNECT,1,0.5,0.8,0,0,L,C,0,0,0
selectbutton,text_select,SELECT,1,0.5,0.5,0,0,L,C,0,0,0
backbutton,text_back,BACK,1,0.5,0.5,0,0,R,C,0,0,0
keypad,text_backspace,BACKSPACE,1,0.4,0.4,0,0,C,C,0,0,
keypad,text_<,LEFT_SHIFT,1,0.4,0.4,0,0,C,C,0,0,
keypad,text_>,RIGHT_SHIFT,1,0.4,0.4,0,0,C,C,0,0,
keypad,text_done,DONE,1,0.4,0.4,0,0,C,C,0,0,
keypad,text_title,Done,1,0.4,0.4,0,0,C,C,0,0,
keypad,text_input,Done,0,0.4,0.4,0,0,L,C,0,0,
keypad,text_00,0,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_01,1,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_02,2,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_03,3,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_04,4,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_05,5,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_06,6,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_07,7,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_08,8,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_09,9,0,0.4,0.4,0,0,C,C,0,0,
keypad,text_period,.,0,0.4,0.4,0,0,C,C,0,0,
NTS_Hostname,TEXT_HOSTNAME,HOSTNAME,1,0.55,0.55,0,0,L,C,0,1,0
NTS_Hostname,TEXT_INHOSTNAME,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_Hostname,TEXT_DOMAINNAME,DOMAIN_NAME,1,0.55,0.55,0,0,L,C,0,1,0
NTS_Hostname,TEXT_INDOMAINNAME,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_Hostname,TEXT_META,Done,1,0.7,0.7,0,0,L,C,1,0,1
NTS_Hostname,TEXT_TITLE,HOSTNAME_TITLE,1,0.7,0.7,0,0,L,C,0,1,0
NTS_DNS,TEXT_PRIMARY,PRIMARY_DNS,1,0.55,0.55,0,0,L,C,0,1,0
NTS_DNS,TEXT_INPUT_PRIMARY,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_DNS,TEXT_SECONDARY,SECONDARY_DNS,1,0.55,0.55,0,0,L,C,0,1,0
NTS_DNS,TEXT_INPUT_SECONDARY,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_DNS,TEXT_TOGGLE,DNS_TOGGLE,1,0.55,0.55,0,0,L,C,0,1,0
NTS_DNS,TEXT_INPUT_TOGGLE,DYNAMIC_IP,0,0.55,0.55,0,0,L,C,0,0,0
NTS_DNS,TEXT_META,Done,1,0.7,0.7,0,0,L,C,1,0,1
NTS_DNS,TEXT_TITLE,DNS_TITLE,1,0.8,0.8,0,0,L,C,0,1,0
NTS_PPPoE,TEXT_TITLE,PPP_TITLE,1,0.8,0.8,0,0,L,C,0,1,0
NTS_PPPoE,TEXT_META,Done,1,0.7,0.7,0,0,L,C,1,0,1
NTS_PPPoE,TEXT_PRIMARY,PPP_PASSWORD,1,0.55,0.55,0,0,L,C,0,1,0
NTS_PPPoE,TEXT_INPUT_PRIMARY,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_PPPoE,TEXT_TOGGLE,PPP_USERNAME,1,0.55,0.55,0,0,L,C,0,1,0
NTS_PPPoE,TEXT_INPUT_TOGGLE,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_PPPoE,TEXT_SECONDARY,PPP_SERVICENAME,1,0.55,0.55,0,0,L,C,0,1,0
NTS_PPPoE,TEXT_INPUT_SECONDARY,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_IP,TEXT_TITLE,IP_TITLE,1,0.7,0.7,0,0,L,C,0,1,0
NTS_IP,TEXT_META,Done,1,1,1,0,0,L,C,1,0,1
NTS_IP,TEXT_TOGGLE,IP_TOGGLE,1,0.55,0.55,0,0,L,C,0,1,0
NTS_IP,TEXT_INPUT_TOGGLE,DYNAMIC_IP,0,0.55,0.55,0,0,L,C,0,0,0
NTS_IP,TEXT_IP,IP_IP,1,0.55,0.55,0,0,L,C,0,1,0
NTS_IP,TEXT_INPUT_IP,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_IP,TEXT_SUBNET,IP_SUBNET,1,0.55,0.55,0,0,L,C,0,1,0
NTS_IP,TEXT_INPUT_SUBNET,Done,0,0.55,0.55,0,0,L,C,0,0,0
NTS_IP,TEXT_GATE,IP_GATE,1,0.55,0.55,0,0,L,C,0,1,0
NTS_IP,TEXT_INPUT_GATE,Done,0,0.55,0.55,0,0,L,C,0,0,0
gen_mess_panel,TEXT_AUTO,AUTO,1,0.3,0.3,0,0,C,C,0,0,
gen_mess_panel,TEXT_YES,YES,1,0.3,0.3,0,0,C,C,0,0,
gen_mess_panel,TEXT_MANUAL,MANUAL,1,0.3,0.3,0,0,C,C,0,0,
gen_mess_panel,TEXT_YES02,YES,1,0.3,0.3,0,0,C,C,0,0,
gen_mess_panel,TEXT_NO,NO,1,0.3,0.3,0,0,C,C,0,0,
gen_mess_panel,TEXT_FRAME,Done,1,0.6,0.6,0,0,C,C,0,0,
gen_mess_panel,TEXT_PANEL,Done,1,0.3,0.3,0,0,C,C,1,0,
act_online,text_title,XBOX_LIVE,1,0.7,0.7,0,0,C,C,0,0,
act_online,text_01,ACCOUNT_MANAGEMENT,1,0.7,0.7,0,0,C,C,0,0,
act_online,text_02,NEW_ACCOUNT,1,0.7,0.7,0,0,C,C,0,0,
act_online,text_03,ACT_NETWORK_SETTINGS,1,0.7,0.7,0,0,C,C,0,0,
act_online,text_04,SUPPORT,1,0.7,0.7,0,0,C,C,0,0,
act_id,TEXT_TITLE,Done,1,0.7,0.7,0,0,C,C,0,0,
act_id,TEXT_META,Done,1,0.7,0.7,0,0,C,C,0,0,
act_id,TEXT_CONTINUE,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_NAME,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_NAME,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_DOB,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_DOB,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_TAG,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_TAG,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_TITLE,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_META,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_CONTINUE,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_NAME,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_NAME,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_DOB,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_DOB,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_TAG,Done,1,0.7,0.7,0,0,C,C,0,0
act_id,TEXT_INPUT_TAG,Done,1,0.7,0.7,0,0,C,C,0,0
nts_status,TEXT_META,Done,1,0.5,0.5,0,0,C,C,0,0
nts_status,TEXT_ADDRESS,Done,0,0.55,0.55,0,0,C,C,0,0
nts_status,TEXT_TITLE,STAT_TITLE,1,0.7,0.7,0,0,C,C,0,1
nts_status,TEXT_01,STAT_S_CABLE,1,0.6,0.6,0,0,L,C,0,0
nts_status,TEXT_02,STAT_S_DHCP,1,0.6,0.6,0,0,L,C,0,0
nts_status,TEXT_03,STAT_S_DNS,1,0.6,0.6,0,0,L,C,0,0
nts_status,TEXT_04,STAT_S_SERVICES,1,0.6,0.6,0,0,L,C,0,0
nts_status,TEXT_05,STAT_SETTINGS,1,0.4,0.4,0,0,C,C,0,0
nts_status,TEXT_06,STAT_CANCEL,1,0.4,0.4,0,0,C,C,0,0
